Riktlinje nr ,URL ,Namn ,Beskrivning ,Prio ,Princip(er) ,Taggar,Senast uppdaterad: ,Status: 
2,https://webbriktlinjer.se/riktlinjer/2-ge-begripliga-felmeddelanden/,Visa var ett fel uppstått och beskriv det tydligt,Hjälp dina användare när det blir fel. Väl formulerade felmeddelanden ger användarna möjlighet att fylla i så felfria data som möjligt i formulären. De minskar också risken för att användarna ska bli irriterade när systemet inte förstår eller kan tolka den felaktigt inmatade informationen.,1,"Användbar, Förtroendeingivande, Tillgänglig","Applikation, DOS-lagen, Felhantering, Formulär, Innehåll, Utvecklare, Utveckling",2018-12-05,ok
5,https://webbriktlinjer.se/riktlinjer/5-skriv-tydliga-lankar/,Skriv tydliga länkar,"Skriv länkarna så att användarna förstår vart länken leder även när den är lyft ur sitt sammanhang. På webben skummar vi ofta igenom information och blicken fastnar på avvikelser såsom rubriker, markerade ord och länkar. Tydliga och informativa länkar gör att besökarna snabbare hittar den information de söker.",1,"Användbar, Tillgänglig","Dokument, DOS-lagen, flik, Förvaltning, Innehåll, Länkar, target",2018-12-05,ok
29,https://webbriktlinjer.se/riktlinjer/29-var-konsekvent-i-navigation-struktur-och-utformning/,"Var konsekvent i navigation, struktur och utformning","Konsekvens är mycket viktigt för att användarna ska förstå hur webbplatsen fungerar. Det betyder inte att alla sidor måste se likadana ut, men liknande uppgifter ska utföras på samma sätt oavsett var på webbplatsen man befinner sig.",1,"Användbar, Tillgänglig","Design, DOS-lagen, Förvaltning, Informationsstruktur, Navigering, Utveckling, Webbdesign",2018-12-05,ok
32,https://webbriktlinjer.se/riktlinjer/32-erbjud-besokaren-alternativa-orienteringsstod/,Erbjud användarna flera olika sätt att navigera,Användare har många olika strategier för att hitta på webbplatser. Erbjud därför fler sätt att navigera utöver sökfunktionen och den primära navigeringen/menyn.,1,"Användbar, Effektiv, Tillgänglig","Beställare, Design, DOS-lagen, Informationsstruktur, Innehåll, Länkstig, Navigering, Sök, Webbdesigner",2018-12-05,ok
55,https://webbriktlinjer.se/riktlinjer/55-skapa-tydliga-och-klickbara-faltetiketter/,Skapa tydliga och klickbara fältetiketter,"För varje fält i ett formulär där användarna ska fylla i information, skapa en tydlig fältetikett (label) som förklarar fältets funktion. ",1,"Användbar, Tillgänglig","Beställare, DOS-lagen, Formulär, Label, Utvecklare",2018-12-05,ok
61,https://webbriktlinjer.se/riktlinjer/61-skriv-tydliga-och-berattande-rubriker/,Skriv beskrivande rubriker och etiketter,"Bra rubriker hjälper läsaren att hitta i texten. Rubrikerna är särskilt viktiga för personer som använder skärmläsare, som kan läsa upp en lista över rubrikerna på en sida. Rubrikerna ska vara lagom långa och sammanfatta vad sidan eller avsnittet handlar om. Alltför korta och allmänna rubriker ger inte användarna så mycket hjälp, till exempel ”Inledning” eller ”Aktiviteter”.",1,"Användbar, Tillgänglig","Beställare, DOS-lagen, Förvaltning, Informatör, Innehåll, Klarspråk, Navigering, Rubrik, Språk, Utveckling, Webbplatsansvarig",2018-12-05,ok
84,https://webbriktlinjer.se/riktlinjer/84-se-till-att-koden-validerar/,Se till att koden validerar,"Se till att er webbplats har sidmallar och stilmallar som har en god kodkvalitet och följer standarder. Det ökar chansen att alla användare kan komma åt informationen och tjänsterna på webbplatsen, oavsett vilka verktyg de använder. ",1,"Tekniskt oberoende, Tillgänglig, Åtkomlig över tid","DOS-lagen, Kravställare, Standarder, Systemutveckling, Testare, Utvecklare, Utveckling, validering",2018-12-05,ok
91,https://webbriktlinjer.se/riktlinjer/91-skapa-en-flexibel-layout/,Skapa en flexibel layout som fungerar vid förstoring eller liten skärm,"Skapa en layout som fungerar på en 320 pixlar bred skärm utan att information eller funktionalitet går förlorad, utan scrollning i mer än en riktning. I praktiken innebär det responsiv design och att att riktigt långa ord behöver avstavas. Att behöva scrolla i sidled är besvärligt och försämrar upplevelsen. Många använder små skärmar och personer som på grund av nedsatt syn förstorar innehållet har liknande behov. ",1,Användbar,"Användbarhet, DOS-lagen, Formgivare, Kravställare, Kravställning, Nytt i WCAG 2.1, responsiv, Stilmallar, Test, Testare, Tillgänglighet, Utvecklare, Utveckling",2018-12-20,ok
75,https://webbriktlinjer.se/riktlinjer/75-gruppera-och-skapa-mojlighet-att-hoppa-forbi-delar-pa-sidorna/,Erbjud möjlighet att hoppa förbi återkommande innehåll,"Bygg in genvägar i strukturen. Det kan ta lång tid att ta sig till olika delar av ett dokument när man navigerar med tangentbord, eftersom man normalt måste stega sig förbi varje länk. Webbplatser som har ett omfattande och komplext menysystem med många länkar kan försvåra avsevärt för många användare. ",1,"Användbar, Tillgänglig","Användbarhet, DOS-lagen, genväg, Gränssnitt, Informationsstruktur, Interaktionsdesign, Lågt hängande frukt, Rubrik, skärmläsare, Tillgänglighet, wai-aria",2018-12-05,ok
68,https://webbriktlinjer.se/riktlinjer/68-skapa-snabbkommandon-for-viktiga-funktioner/,Skapa kortkommandon med varsamhet,"Kortkommandon kan göra att det går snabbare att navigera på webbplatsen, men de bör användas med försiktighet. 

Det finns en risk att webbplatsens kortkommandon förväxlas med kortkommandon som användarens webbläsare, operativsystem eller hjälpmedel erbjuder. Kortkommandon som bara består av ett tecken kan dessutom orsaka problem för personer som använder röststyrning eller råkar klicka på fel tangent, exempelvis på grund av skakningar i händerna. 

Riktlinjen påverkar inte funktioner såsom listboxar och rullgardinsmenyer där användare kan göra sitt val genom att en eller flera tangenter trycks ned, eftersom detta bara går att göra när komponenten är i fokus.
",1,Tillgänglig,"DOS-lagen, genväg, kortkommando, Nytt i WCAG 2.1, snabbkommando",2018-12-28,na
